,Unnamed: 0,d1,d2,type,split,smiles1,smiles2
46979,46979,DB00188,DB00738,75,training,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
142466,27281,DB01466,DB01176,25,validation,[H][C@@]12OC3=C(OCC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
116935,1750,DB00500,DB00866,34,validation,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,CC(C)NCC(O)COC1=CC=CC=C1CC=C
119349,4164,DB01118,DB00547,9,validation,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
438,438,DB00939,DB00686,45,training,CC1=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C(Cl)C=C1,O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O
79979,79979,DB01142,DB05271,77,training,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12,CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1
79982,79982,DB01240,DB05271,25,training,[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])CC(O2)=CCCCC(O)=O,CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1
61050,61050,DB01118,DB00559,9,training,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1
162952,9419,DB01097,DB00972,5,testing,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O
118542,3357,DB00500,DB04846,34,validation,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,CCN(CC)C(=O)NC1=CC=C(OCC(O)CNC(C)(C)C)C(=C1)C(C)=O
50751,50751,DB00996,DB01618,25,training,NCC1(CC(O)=O)CCCCC1,CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2
159686,6153,DB04951,DB13167,25,testing,CC1=CN(C(=O)C=C1)C1=CC=CC=C1,OC(=O)CC1=CC(Cl)=C(OCC=C)C=C1
165749,12216,DB00745,DB00829,5,testing,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
47003,47003,DB00169,DB00738,5,training,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
118518,3333,DB00542,DB01275,25,validation,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCC2=CC=CC=C2N(CC(O)=O)C1=O,NNC1=NN=CC2=CC=CC=C12
173820,20287,DB01118,DB00722,25,testing,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O
2783,2783,DB00255,DB00498,33,training,CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1
129962,14777,DB00227,DB08932,5,validation,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,CCCNS(=O)(=O)NC1=C(C(OCCOC2=NC=C(Br)C=N2)=NC=N1)C1=CC=C(Br)C=C1
84002,84002,DB00889,DB00476,78,training,CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C2=C1C=CC=C2,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1
125519,10334,DB06204,DB01466,53,validation,CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1,[H][C@@]12OC3=C(OCC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
127665,12480,DB00455,DB00593,25,validation,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,CCC1(C)CC(=O)NC1=O
48597,48597,DB01214,DB01124,63,training,CC(C)NCC(O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
72729,72729,DB01253,DB00455,25,training,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](C)CO,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2
87329,87329,DB01026,DB04855,9,training,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
169463,15930,DB00335,DB01016,63,testing,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
46903,46903,DB00418,DB00738,6,training,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
57212,57212,DB00924,DB00816,25,training,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12,CC(C)NCC(O)C1=CC(O)=CC(O)=C1
190449,36916,DB00169,DB06803,5,testing,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,OC1=C(C=C(Cl)C=C1)C(=O)NC1=C(Cl)C=C(C=C1)[N+]([O-])=O
173576,20043,DB01117,DB00623,9,testing,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
9607,9607,DB00872,DB00335,25,training,CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
110339,110339,DB08899,DB00990,8,training,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C
45408,45408,DB06196,DB01180,34,training,[H][C@]12CC(N(C(=O)C3CC4=CC=CC=C4CN3C(=O)[C@H](CO)NC(=O)[C@H](CC3=CC=CS3)NC(=O)CNC(=O)C3C[C@@H](O)CN3C(=O)C3CCCN3C(=O)C(CCCN=C(N)N)NC(=O)[C@H](N)CCCN=C(N)N)[C@@]1([H])CCCC2)C(=O)N[C@@H](CCCN=C(N)N)C(O)=O,[H][C@]12C[C@@H](OC(=O)C=CC3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
2738,2738,DB00624,DB00498,45,training,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1
36842,36842,DB01026,DB00829,5,training,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
14533,14533,DB00945,DB00846,25,training,CC(=O)OC1=CC=CC=C1C(O)=O,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@]([H])(F)C5=CC(=O)CC[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
116126,941,DB00736,DB00498,9,validation,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1
57228,57228,DB08808,DB00816,36,training,CC1=CC(OCC(O)CNC(C)(C)C)=C(Cl)C=C1,CC(C)NCC(O)C1=CC(O)=CC(O)=C1
59218,59218,DB01026,DB01253,9,training,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](C)CO
149476,34291,DB00559,DB00255,8,validation,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
182757,29224,DB01274,DB04855,75,testing,COC1=CC=C(C[C@@H](C)NC[C@H](O)C2=CC(NC=O)=C(O)C=C2)C=C1,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
36191,36191,DB00312,DB00474,25,training,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
133432,18247,DB00871,DB01366,25,validation,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,CC[C@H](NC(C)C)[C@H](O)C1=C2C=CC(=O)NC2=C(O)C=C1
88057,88057,DB00738,DB01182,75,training,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,CCCNCC(O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1
18173,18173,DB06739,DB13167,25,training,CC1=C(C)C(=O)C(C(CCCCCC(O)=O)C2=CC=CC=C2)=C(C)C1=O,OC(=O)CC1=CC(Cl)=C(OCC=C)C=C1
8470,8470,DB00623,DB08808,66,training,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,CC1=CC(OCC(O)CNC(C)(C)C)=C(Cl)C=C1
72654,72654,DB09072,DB00455,53,training,[Na+].OCCCC([O-])=O,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2
157273,3740,DB13783,DB04574,25,testing,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OS(O)(=O)=O)=C4)[C@@H]1CCC2=O
139857,24672,DB01264,DB01035,9,validation,[H][C@@]12CCO[C@]1([H])OC[C@@H]2OC(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN(CC(C)C)S(=O)(=O)C1=CC=C(N)C=C1,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1
83963,83963,DB01588,DB00476,25,training,ClC1=CC2=C(C=C1)N(CC1CC1)C(=O)CN=C2C1=CC=CC=C1,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1
169747,16214,DB00503,DB00284,12,testing,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,[H][C@@](O)(CO)[C@@]([H])(O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(C)[C@@]([H])(N[C@@]3([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O)[C@]([H])(O)[C@@]([H])(O)C=O
133421,18236,DB00866,DB01366,36,validation,CC(C)NCC(O)COC1=CC=CC=C1CC=C,CC[C@H](NC(C)C)[C@H](O)C1=C2C=CC(=O)NC2=C(O)C=C1
165116,11583,DB01227,DB00967,25,testing,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1
33054,33054,DB00245,DB01227,25,training,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
23641,23641,DB00529,DB01421,20,training,OC(=O)P(O)(O)=O,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
152653,37468,DB00996,DB00189,25,validation,NCC1(CC(O)=O)CCCCC1,[H]C(Cl)=CC(O)(CC)C#C
115,115,DB09053,DB00278,25,training,NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C1=CC=CC2=C1NC[C@H](C)C2
